date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:31:35	46248/46248	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Oct%202020%2021:23:00%20GMT	https://geniusdevs.com/themeforest/icard/icard/index2.html	C:/Users/PHP/Desktop/Cloned%20portfolios/White%20I%20card/geniusdevs.com/themeforest/icard/icard/index2.html	(from )
16:31:35	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Nov%202021%2011:31:35%20GMT	https://geniusdevs.com/robots.txt		(from )
16:31:36	3654/3654	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Feb%202020%2003:15:34%20GMT	https://geniusdevs.com/themeforest/icard/icard/assets/images/favicon.png	C:/Users/PHP/Desktop/Cloned%20portfolios/White%20I%20card/geniusdevs.com/themeforest/icard/icard/assets/images/favicon.png	(from https://geniusdevs.com/themeforest/icard/icard/index2.html)
16:31:36	78544/78544	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Jun%202020%2003:48:56%20GMT	https://geniusdevs.com/themeforest/icard/icard/assets/css/animate.css	C:/Users/PHP/Desktop/Cloned%20portfolios/White%20I%20card/geniusdevs.com/themeforest/icard/icard/assets/css/animate.css	(from https://geniusdevs.com/themeforest/icard/icard/index2.html)
16:31:37	155758/155758	---M-Z	200	added ('OK')	text/css	date:Sat,%2009%20Nov%202019%2010:32:58%20GMT	https://geniusdevs.com/themeforest/icard/icard/assets/css/bootstrap.min.css	C:/Users/PHP/Desktop/Cloned%20portfolios/White%20I%20card/geniusdevs.com/themeforest/icard/icard/assets/css/bootstrap.min.css	(from https://geniusdevs.com/themeforest/icard/icard/index2.html)
16:31:38	61919/61919	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Oct%202020%2018:58:06%20GMT	https://geniusdevs.com/themeforest/icard/icard/assets/css/plugin.css	C:/Users/PHP/Desktop/Cloned%20portfolios/White%20I%20card/geniusdevs.com/themeforest/icard/icard/assets/css/plugin.css	(from https://geniusdevs.com/themeforest/icard/icard/index2.html)
16:31:38	5278/5278	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Oct%202020%2018:31:48%20GMT	https://geniusdevs.com/themeforest/icard/icard/assets/css/owl.carousel.min.css	C:/Users/PHP/Desktop/Cloned%20portfolios/White%20I%20card/geniusdevs.com/themeforest/icard/icard/assets/css/owl.carousel.min.css	(from https://geniusdevs.com/themeforest/icard/icard/index2.html)
16:31:39	47999/47999	---M-Z	200	added ('OK')	text/css	date:Fri,%2009%20Oct%202020%2003:12:18%20GMT	https://geniusdevs.com/themeforest/icard/icard/assets/css/style.css	C:/Users/PHP/Desktop/Cloned%20portfolios/White%20I%20card/geniusdevs.com/themeforest/icard/icard/assets/css/style.css	(from https://geniusdevs.com/themeforest/icard/icard/index2.html)
16:31:40	13220/13220	---M-Z	200	added ('OK')	text/css	date:Fri,%2009%20Oct%202020%2003:13:58%20GMT	https://geniusdevs.com/themeforest/icard/icard/assets/css/responsive.css	C:/Users/PHP/Desktop/Cloned%20portfolios/White%20I%20card/geniusdevs.com/themeforest/icard/icard/assets/css/responsive.css	(from https://geniusdevs.com/themeforest/icard/icard/index2.html)
16:31:40	3308/3308	---M-Z	200	added ('OK')	text/css	date:Fri,%2016%20Oct%202020%2021:45:16%20GMT	https://geniusdevs.com/themeforest/icard/icard/assets/css/lite.css	C:/Users/PHP/Desktop/Cloned%20portfolios/White%20I%20card/geniusdevs.com/themeforest/icard/icard/assets/css/lite.css	(from https://geniusdevs.com/themeforest/icard/icard/index2.html)
